pl_name,sy_mnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim
Kepler-1321 c,0,2016,2.22649109,0.00000524,-0.00000524,0,2.400,0.300,-0.180,0,6.35000,,,0,2.520000,,,0,0.04224,0.00183,-0.00086,0,,,,
Kepler-1321 d,0,2021,5.72092009,,,0,2.628,,,0,7.41000,,,0,2.240000,,,0,0.03242,0.00173,-0.00110,0,,,,
Kepler-1322 b,0,2016,0.96286738,0.00000204,-0.00000204,0,1.610,0.200,-0.130,0,3.22000,,,0,4.240000,,,0,0.01686,0.00051,-0.00044,0,,,,
Kepler-1322 c,0,2021,6.45998001,,,0,2.155,,,0,5.29000,,,0,2.900000,,,0,0.01877,0.00109,-0.00066,0,,,,
Kepler-1323 b,0,2016,0.92990668,0.00000075,-0.00000075,0,1.520,0.330,-0.240,0,2.92000,,,0,4.570000,,,0,0.00987,0.00010,-0.00022,0,,,,
Kepler-1324 b,0,2016,4.11584468,0.00000855,-0.00000855,0,1.510,0.080,-0.090,0,2.89000,,,0,4.610000,,,0,0.01900,0.00077,-0.00068,0,,,,
Kepler-1325 b,0,2016,33.87868380,0.00023340,-0.00023340,0,2.860,0.400,-0.470,0,8.55000,,,0,2.010000,,,0,0.02868,0.00002,-0.00434,0,,,,
Kepler-1326 b,0,2016,42.35142670,0.00013720,-0.00013720,0,4.180,1.510,-0.760,0,16.30000,,,0,1.230000,,,0,0.02240,0.00050,-0.00027,0,,,,
Kepler-1327 b,0,2016,14.88801098,0.00008768,-0.00008768,0,1.800,0.580,-0.200,0,3.89000,,,0,3.670000,,,0,0.01557,0.00339,-0.00071,0,,,,
Kepler-1328 b,0,2016,4.52158888,0.00002184,-0.00002184,0,0.980,0.200,-0.090,0,0.90400,,,0,5.280000,,,0,0.00944,0.00037,-0.00029,0,,,,
Kepler-1329 b,0,2016,9.33646594,0.00003106,-0.00003106,0,2.170,0.060,-0.160,0,5.35000,,,0,2.880000,,,0,0.02897,0.00029,-0.00187,0,,,,
Kepler-133 b,0,2014,8.12997600,0.00003800,-0.00003800,0,1.760,0.300,-0.300,0,3.75000,,,0,3.780000,,,0,0.01142,0.00013,-0.00070,0,,,,
Kepler-133 c,0,2014,31.51758600,0.00015800,-0.00015800,0,2.840,0.480,-0.480,0,8.45000,,,0,2.030000,,,0,0.01869,0.00026,-0.00026,0,,,,
Kepler-1330 b,0,2016,10.10769068,0.00004951,-0.00004951,0,1.650,0.400,-0.130,0,3.36000,,,0,4.110000,,,0,0.01644,0.00052,-0.00051,0,,,,
Kepler-1331 b,0,2016,0.78916165,0.00000121,-0.00000121,0,1.050,0.090,-0.080,0,1.16000,,,0,5.510000,,,0,0.01412,0.00064,-0.00060,0,,,,
Kepler-1332 b,0,2016,11.87456832,0.00003749,-0.00003749,0,1.370,0.090,-0.050,0,2.45000,,,0,5.240000,,,0,0.01381,0.00076,-0.00024,0,,,,
Kepler-1333 b,0,2016,109.64718420,0.00070770,-0.00070770,0,2.810,0.400,-0.250,0,8.30000,,,0,2.060000,,,0,0.02827,0.00103,-0.00067,0,,,,
Kepler-1334 b,0,2016,15.64591713,0.00007265,-0.00007265,0,2.290,0.310,-0.180,0,5.86000,,,0,2.680000,,,0,0.02304,0.00070,-0.00082,0,,,,
